Object_Name,Category,Data_Status,Area_m2,Bounds_XY,Description,Spatial_Role
REV_P5_MP_ASSEMBLY_PAD_60x40,Construction logistics,CONTROLLED_PRE_FEED,2400.0,"[70.0, 190.0, 130.0, 230.0]",Montage and pre-assembly platform in the west logistics reserve; 60 x 40 m.,PHYSICAL
REV_P5_MP_HEAVY_HAUL_ROUTE,Construction logistics,CONTROLLED_PRE_FEED,10626.009880500354,"[125.50166775068307, 96.0, 607.4953929446049, 349.5]",Preliminary 9 m heavy-haul swept envelope for a 16.5 m articulated screening vehicle; final certified swept path remains HP-07.,CLEARANCE_ENVELOPE
REV_P5_MP_CRANE_PAD_01,Construction logistics,CONTROLLED_PRE_FEED,252.0,"[326.0, 207.0, 344.0, 221.0]",Temporary crane outrigger platform adjacent to the pyrolysis terrace.,PHYSICAL
REV_P5_MP_CRANE_PAD_02,Construction logistics,CONTROLLED_PRE_FEED,252.0,"[315.0, 232.0, 333.0, 246.0]",Temporary crane outrigger platform adjacent to the pyrolysis terrace.,PHYSICAL
REV_P5_MP_D3_EMERGENCY_BAY,Road safety,CONTROLLED_PRE_FEED,132.0,"[541.0, 244.0, 565.0, 250.0]","Connected tapered 24 x 6 m emergency lay-by on the terrain-balanced y=244 D3 reach, with a 20 m stopping edge, full D3 surface continuation and a single engineered foundation plane keyed at least 100 mm into verified source ground.",PHYSICAL
REV_P5_MP_TIRE_QUARANTINE,Raw material logistics,CONTROLLED_PRE_FEED,2100.0,"[178.0, 350.0, 238.0, 385.0]",Fenced quarantine area for nonconforming tyre batches with segregated dirty drainage requirement.,PHYSICAL
REV_P5_MP_PROTECTED_PEDESTRIAN_ROUTE,Personnel safety,CONTROLLED_PRE_FEED,783.0163890393324,"[175.75, 92.0, 335.0, 253.25]",Protected 2.5 m pedestrian corridor with edge bollards from the lower checkpoint to the controlled boundary of the pyrolysis safety zone.,PERSONNEL_ROUTE
REV_P5_MP_DRY_HYBRID_COOLER_RESERVE_40x25,Utilities,OPEN_RFI,1000.0,"[420.0, 45.0, 460.0, 70.0]",Controlled 40 x 25 m reserve for dry/hybrid cooling equipment; final duty and type require heat balance.,PHYSICAL
REV_P5_MP_CLEAN_SNOW_CONTAINMENT,Winter operation,CONTROLLED_PRE_FEED,4160.0,"[60.0, 35.0, 140.0, 87.0]","Relocated graded snow-management pad with raised containment, separated from the corrected road system.",PHYSICAL
REV_P5_MP_DIRTY_SNOW_CONTAINMENT,Winter operation,CONTROLLED_PRE_FEED,1050.0,"[560.0, 25.0, 590.0, 60.0]","Relocated graded snow-management pad with raised containment, separated from the corrected road system.",PHYSICAL
REV_P5_MP_PHASE2_CAPPED_STUBS,Phase 2 interfaces,CONTROLLED_PRE_FEED,4.2798996768174185,"[461.595, 399.595, 467.6, 425.6]","Visible capped reserves for FW, CW supply/return, pyrolysis gas, 10 kV and control at the phase-2 boundary, north of all active road corridors.",PHYSICAL
REV_P5_MP_RAW_LOOP_ONE_WAY_MARKINGS,Traffic management,CONTROLLED_PRE_FEED,17.34600000000036,"[300.14712230215827, 306.95, 440.05, 383.05]",One-way circulation markings derived from the accepted D2 axis.,TRAFFIC_MARKING
REV_P5_MP_PRODUCT_LOOP_ONE_WAY_MARKINGS,Traffic management,CONTROLLED_PRE_FEED,17.34599999999977,"[366.9592448527304, 148.95, 509.3381676579456, 151.05]",One-way circulation markings derived from the accepted D5 axis.,TRAFFIC_MARKING
REV_P5_MP_BLD05_SERVICE_RAMP_TO_D3,Service access,CONTROLLED_PRE_FEED,688.0306345090615,"[420.6000061035156, 216.6582790630882, 515.7459460550745, 252.64649548543085]",Dedicated high-level ramp from BLD_05 pyrolysis terrace to D3; replaces the invalid short link to lower D5.,PHYSICAL
REV_P5_MP_LABORATORY_RESERVE,Missing system spatial reserve,OPEN_CRITICAL,96.0,"[352.0, 70.0, 364.0, 78.0]","Quality laboratory reserve for feedstock, oil and rCB testing; relocated clear of clean-snow storage.",PHYSICAL
REV_P5_MP_WASTEWATER_TREATMENT_RESERVE,Missing system spatial reserve,OPEN_CRITICAL,800.0,"[500.0, 25.0, 540.0, 45.0]","Reserve for local treatment of process, storm and oily wastewater.",PHYSICAL
REV_P5_MP_DG_UPS_RESERVE,Missing system spatial reserve,OPEN_CRITICAL,300.0,"[395.0, 70.0, 415.0, 85.0]",Reserve for emergency generator and UPS supporting safety loads.,PHYSICAL
REV_P5_MP_HVAC_HEAT_SOURCE_RESERVE,Missing system spatial reserve,OPEN_CRITICAL,288.0,"[340.0, 50.0, 358.0, 66.0]","Reserve for heat source, HVAC and emergency ventilation equipment; coordinated outside retaining walls and snow storage.",PHYSICAL
REV_P5_SAFETY_PRELIM_PYROLYSIS_ZONE,Safety annotation,OPEN_CRITICAL,3033.6005859375,"[337.3999938964844, 192.39999389648438, 432.6000061035156, 247.60000610351562]",Preliminary spatial envelope for Ex/fire/F&G coordination. It is not a final hazardous-area classification.,SAFETY_ANNOTATION
